Link,Title,Price,Image URL,Region,Labels,Actual Floor,Max Floor,Size,Rooms,Square Price
https://list.am/item/21047616,"2 սենյականոց բնակարան նորակառույց շենքում Սերո Խանզադյան փողոցում, 52 քմ, 7/11 հարկ",68000,,Նորք Մարաշ,Գործակալություն,7,11,52,2,1307.6923076923076
https://list.am/item/20417702,"3 սենյականոց բնակարան նորակառույց շենքում Շարուրի փողոցում, 68 ք.մ., 8/10 հարկ, եվրովերանորոգված",90000,,Շենգավիթ,Գործակալություն,8,10,68,3,1323.5294117647059
https://list.am/item/19521789,"2 սենյականոց բնակարան նորակառույց շենքում Սերո Խանզադյան փողոցում, 52 քմ, 7/11 հարկ",69000,,Նորք Մարաշ,Գործակալություն,7,11,52,2,1326.923076923077
https://list.am/item/20246680,"3 սենյականոց բնակարան նորակառույց շենքում, Թբիլիսյան խճուղի, 54 ք.մ., բարձր առաստաղներ",72000,,Արաբկիր,Գործակալություն,4,5,54,3,1333.3333333333333
https://list.am/item/20779617,"1 սենյականոց բնակարան նորակառույց շենքում Լենինգրադյան փողոցում, 48 ք.մ., եվրովերանորոգված",64000,,Աջափնյակ,Գործակալություն,5,5,48,1,1333.3333333333333
https://list.am/item/14374287,"2 սենյականոց բնակարան նորակառույց շենքում Վահրամ Փափազյան փողոցում, 65 քմ, նախավերջին հարկ",87000,,Արաբկիր,Գործակալություն,4,5,65,2,1338.4615384615386
https://list.am/item/19585151,"2 սենյականոց բնակարան նորակառույց շենքում Մարգարյան փողոցում, 67 ք.մ., 8/12 հարկ",90000,,Աջափնյակ,Գործակալություն,8,12,67,2,1343.2835820895523
https://list.am/item/17902331,"2 սենյականոց բնակարան նորակառույց շենքում Սիսակյան փողոցում, 64 ք.մ., 10/12 հարկ, եվրովերանորոգված",86000,,Աջափնյակ,Գործակալություն,10,12,64,2,1343.75
https://list.am/item/21111047,"2 սենյականոց բնակարան նորակառույց շենքում Մարգարյան փողոցում, 66 քմ, նախավերջին հարկ",89000,,Աջափնյակ,Գործակալություն,8,9,66,2,1348.4848484848485
https://list.am/item/20435350,"2 սենյականոց բնակարան նորակառույց շենքում, 15-я улица Нор Ареша, 45 քմ, 5/9 հարկ",62000,,Էրեբունի,Գործակալություն,5,9,45,2,1377.7777777777778
https://list.am/item/20911428,"2 սենյականոց բնակարան նորակառույց շենքում Չեխովի փողոցում, 59 քմ, 7/13 հարկ, բարձր առաստաղներ",82000,,Շենգավիթ,Գործակալություն,7,13,59,2,1389.8305084745762
https://list.am/item/20706722,"2 սենյականոց բնակարան նորակառույց շենքում Չեխովի փողոցում, 59 քմ, 7/13 հարկ, բարձր առաստաղներ",82000,,Շենգավիթ,,7,13,59,2,1389.8305084745762
https://list.am/item/20964203,"3 սենյականոց բնակարան նորակառույց շենքում Մելքումով փողոցում, 60 քմ, բարձր առաստաղներ",84000,,Աջափնյակ,,5,5,60,3,1400.0
https://list.am/item/19155471,"2 սենյականոց բնակարան նորակառույց շենքում Մելիք Մելիքյան փողոցում, 62 քմ, 7/15 հարկ",86800,,Քանաքեռ Զեյթուն,Գործակալություն,7,15,62,2,1400.0
https://list.am/item/20738347,"2 սենյականոց բնակարան նորակառույց շենքում Գյուրջյան փողոցում, 45 ք.մ., 8/16 հարկ, բարձր առաստաղներ",63000,,Նոր Նորք,Գործակալություն,8,16,45,2,1400.0
https://list.am/item/20860639,"2 սենյականոց բնակարան նորակառույց շենքում Խաղաղ Դոնի փողոցում, 58 ք.մ., 4/7 հարկ, բարձր առաստաղներ",82000,,Էրեբունի,Գործակալություն,4,7,58,2,1413.7931034482758
https://list.am/item/21089128,"3 սենյականոց բնակարան նորակառույց շենքում, Մոլդովական, 60 քմ, կապիտալ վերանորոգված",85000,,Նոր Նորք,,9,9,60,3,1416.6666666666667
https://list.am/item/16714502,"2 սենյականոց բնակարան նորակառույց շենքում Սիսակյան փողոցում, 62 ք.մ., 9/14 հարկ, բարձր առաստաղներ",88000,,Աջափնյակ,Գործակալություն,9,14,62,2,1419.3548387096773
https://list.am/item/21000128,"2 սենյականոց բնակարան նորակառույց շենքում Չեխովի փողոցում, 59 քմ, 7/13 հարկ, բարձր առաստաղներ",84000,,Շենգավիթ,Գործակալություն,7,13,59,2,1423.7288135593221
